id,name,category,昨日收盤價,昨日漲跌幅,開盤位置,開盤價,收盤價,漲跌幅,A轉跌幅,成交量,三大買賣超,融券5N,昨日融券,融券差額(張),融券增加,融資5N,昨日融資,融資差額(張),融資增加,投信買賣超(張),投信買賣超%,投信持股比例,外資買賣超(張),外資買賣超%,外資持股比例,自營商買賣超(張),自營商買賣超%,自營商持股比例,主力買賣超(張),主力今日%,投信5買%,投信10買%,投信20買%,投信5買N天,投信10買N天,投信20買N天,外資5買%,外資10買%,外資20買%,外資5買N天,外資10買N天,外資20買N天,主力5買%,主力10買%,主力20買%,月增率%,年增率%,累計年增率%,ma5距離,ma10距離,ma20距離,ma60距離,買超主力,買超趴數,買超主力2,買超趴數2,買超主力3,買超趴數3
1213,大飲,食品工業,7.15,1.27,1.96,7.29,7.29,1.96,0.0,2.07,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,,,,0.17,0.17,0.2,0.12,富邦-台中,0%,凱基-天母,0%,中國信託-新竹,0%
1215,卜蜂,食品工業,79.2,-0.38,0.0,79.2,79.0,-0.25,-1.0,394.35,-121.0,0.0,0.0,0.0,,2.0,-6.0,-11.0,0.83,-170.0,-0.06,1.23,50.0,0.02,38.76,-1.0,-0.0,0.31,-168.0,-0.06,-0.06,-0.06,-0.05,1.0,1.0,9.0,0.06,0.14,0.12,4.0,9.0,14.0,-0.11,-0.13,-0.27,,,,0.06,0.55,0.93,0.75,凱基-台北,9.14%,美林,5.33%,摩根大通,4.31%
1216,統一,食品工業,65.0,-1.37,0.0,65.0,65.4,0.62,-0.15,9704.95,847.0,2.0,-20.0,6.0,-1.3,3.0,154.0,-258.0,-2.68,-1200.0,-0.02,1.31,2199.0,0.04,40.97,-152.0,-0.0,0.59,1092.0,0.02,-0.48,-0.94,-0.98,0.0,0.0,4.0,0.46,0.73,0.55,3.0,7.0,11.0,0.07,-0.07,-0.38,,,,-0.24,0.17,0.28,-0.27,台灣摩根士丹利,53.3%,元大證券,7.16%,花旗環球,4.41%
1217,愛之味,食品工業,10.4,-0.48,0.48,10.45,10.45,0.48,-0.95,889.55,318.0,1.0,5.0,0.0,-1.0,2.0,-12.0,12.0,-2.0,0.0,0.0,0.0,347.0,0.07,7.49,-29.0,-0.01,0.13,254.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.46,0.57,4.0,7.0,14.0,0.26,0.37,0.58,,,,0.0,0.05,0.33,0.87,瑞士信貸,14.38%,凱基-台北,11.35%,元大-博愛,7.87%
1218,泰山,食品工業,46.15,2.21,0.87,46.55,41.55,-9.97,-11.41,7053.84,-2171.0,3.0,20.0,-47.0,-3.35,2.0,-17.0,349.0,-21.53,0.0,0.0,0.03,-1937.0,-0.39,3.06,-234.0,-0.05,0.05,-1959.0,-0.39,0.0,-0.0,0.0,1.0,2.0,11.0,-0.03,0.21,0.05,3.0,7.0,12.0,-0.25,0.13,-0.02,,,,-3.41,-1.33,0.29,3.42,元大-土城學府,4.59%,合庫-彰化,1.98%,元大-大同,1.79%
1219,福壽,食品工業,19.35,-0.77,0.26,19.4,19.15,-1.03,-1.54,488.16,-94.0,2.0,8.0,3.0,-0.62,0.0,-321.0,-89.0,-0.72,0.0,0.0,0.03,-93.0,-0.03,5.01,-1.0,-0.0,0.03,-126.0,-0.04,0.0,0.0,0.0,1.0,1.0,9.0,0.16,-0.1,-0.82,4.0,6.0,9.0,-0.02,-0.18,-0.75,,,,-0.09,0.07,0.05,-0.26,永豐金-敦北,10.25%,元大-北三重,5.12%,台灣企銀-桃園,4.1%
1220,台榮,食品工業,15.15,0.33,-0.66,15.05,15.25,0.66,-0.33,151.24,34.0,0.0,0.0,0.0,,5.0,5.0,13.0,1.6,0.0,0.0,0.0,34.0,0.02,7.54,0.0,0.0,0.04,12.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.14,0.22,5.0,9.0,17.0,0.05,0.08,0.07,,,,0.19,0.38,0.48,0.71,統一-敦南,47.02%,凱基-台北,14.57%,台灣摩根士丹利,10.6%
1225,福懋油,食品工業,57.0,-1.04,-2.46,55.6,57.6,1.05,0.0,23.33,5.0,0.0,0.0,0.0,,4.0,17.0,14.0,-0.18,0.0,0.0,0.0,5.0,0.0,0.69,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.01,0.01,4.0,8.0,12.0,0.0,0.0,-0.0,,,,0.26,0.62,1.12,,統一-敦南,60.87%,凱基-台北,13.04%,摩根大通,4.35%
1227,佳格,食品工業,40.65,-0.37,0.0,40.65,40.65,0.0,-0.61,349.23,127.0,0.0,0.0,0.0,,1.0,2.0,-46.0,-24.0,0.0,0.0,0.22,129.0,0.01,6.39,-2.0,-0.0,0.19,-16.0,-0.0,-0.0,-0.0,0.0,1.0,2.0,10.0,0.08,0.14,0.2,5.0,10.0,17.0,-0.01,-0.0,0.04,,,,-0.02,0.22,0.52,1.39,凱基-台北,10.89%,摩根大通,8.02%,臺銀-臺中,7.74%
1229,聯華,食品工業,51.0,-0.58,0.0,51.0,50.7,-0.59,-0.98,645.09,-112.0,0.0,-3.0,0.0,-1.0,2.0,0.0,9.0,inf,4.0,0.0,0.06,-94.0,-0.01,11.09,-22.0,-0.0,0.17,-109.0,-0.01,0.0,-0.0,0.0,2.0,3.0,11.0,0.02,0.05,0.05,2.0,6.0,9.0,-0.02,-0.04,-0.08,,,,-0.14,0.31,0.57,0.56,台灣摩根士丹利,5.43%,元大-敦化,4.65%,華南永昌-中正,2.79%
1231,聯華食,食品工業,73.8,-1.07,0.0,73.8,74.3,0.68,-0.93,170.86,-26.0,0.0,0.0,0.0,,2.0,2.0,4.0,1.0,0.0,0.0,0.0,-26.0,-0.01,2.4,0.0,0.0,0.02,20.0,0.01,0.0,0.0,-0.0,0.0,0.0,5.0,0.08,0.09,0.08,2.0,4.0,9.0,0.06,0.07,-0.03,,,,0.4,1.83,3.53,4.39,兆豐-新竹,32.16%,國票-嘉義,5.85%,凱基-竹北,5.85%
1232,大統益,食品工業,151.0,-1.95,-0.66,150.0,149.0,-1.32,-1.0,141.43,-77.0,0.0,0.0,0.0,,1.0,0.0,1.0,inf,-80.0,-0.05,0.95,5.0,0.0,1.28,-2.0,-0.0,0.16,-58.0,-0.04,-0.05,-0.05,-0.03,0.0,2.0,6.0,0.09,0.1,0.12,5.0,6.0,11.0,-0.03,-0.05,-0.06,,,,-2.2,0.25,1.8,-1.14,永豐金-苓雅,9.22%,摩根大通,5.67%,花旗環球,4.96%
1233,天仁,食品工業,32.85,0.46,-0.46,32.7,32.9,0.15,0.0,11.0,3.0,0.0,0.0,0.0,,1.0,1.0,0.0,-1.0,0.0,0.0,0.0,3.0,0.0,5.26,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,11.0,-0.0,-0.0,0.0,,,,0.22,0.31,0.35,0.23,花旗環球,27.27%,新光-高雄,18.18%,臺銀-民權,9.09%
1234,黑松,食品工業,33.0,0.15,0.0,33.0,33.1,0.3,0.0,391.12,55.0,0.0,0.0,0.0,,2.0,-2.0,0.0,-1.0,0.0,0.0,0.0,55.0,0.01,5.54,0.0,0.0,0.08,-127.0,-0.03,0.0,0.0,-0.0,0.0,0.0,0.0,0.09,0.12,0.16,5.0,8.0,16.0,-0.14,-0.19,-0.29,,,,0.11,0.15,0.13,0.08,元大-中壢,17.9%,新光,6.65%,元大-北成功,5.12%
1235,興泰,食品工業,69.5,-1.0,-0.86,68.9,69.5,0.0,0.0,3.36,0.0,0.0,0.0,0.0,,2.0,9.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.03,2.0,4.0,7.0,0.0,-0.0,0.0,,,,-0.64,-0.46,,,花旗環球,66.67%,康和-板橋,0%,統一-員林,0%
1236,宏亞,食品工業,21.7,0.0,0.23,21.75,21.8,0.46,-0.46,70.24,27.0,0.0,0.0,0.0,,2.0,-3.0,-10.0,2.33,0.0,0.0,0.0,27.0,0.02,0.56,0.0,0.0,0.35,-4.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.08,-0.0,5.0,8.0,14.0,0.02,-0.01,-0.15,,,,0.23,0.46,0.83,0.76,群益金鼎-東門,14.29%,凱基-台北,14.29%,美商高盛,12.86%
1240,茂生農經,農業科技,43.05,0.82,-0.12,43.0,43.2,0.35,-2.26,69.59,11.0,0.0,0.0,0.0,,2.0,-1.0,1.0,-2.0,0.0,0.0,0.0,11.0,0.03,10.26,0.0,0.0,0.0,9.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.04,4.0,7.0,11.0,0.02,0.03,-0.01,,,,0.26,0.34,0.52,0.13,富邦證券,31.43%,凱基-台北,14.29%,國票-博愛,11.43%
1256,鮮活果汁-KY,食品工業,258.0,-3.01,0.0,258.0,268.5,4.07,-0.19,19.09,5.0,0.0,0.0,0.0,,1.0,0.0,0.0,,0.0,0.0,0.03,5.0,0.01,3.85,0.0,0.0,0.03,2.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.05,4.0,6.0,10.0,0.03,0.03,-0.0,28.74,-7.76,-13.04,,,,,花旗環球,10.53%,元富-文心,10.53%,摩根大通,10.53%
1258,其祥-KY,食品工業,19.35,-0.26,0.0,19.35,19.35,0.0,-0.77,114.05,-7.0,0.0,0.0,0.0,,1.0,-9.0,-10.0,0.11,0.0,0.0,0.0,-7.0,-0.02,73.7,0.0,0.0,0.0,-7.0,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,-0.28,-0.5,1.0,1.0,6.0,0.01,-0.1,-0.62,,,,0.17,0.34,-0.44,-2.85,亞東,33.33%,新光-台南,14.04%,元大-頭份,9.65%
1259,安心,觀光事業,72.5,-0.41,0.55,72.9,73.0,0.69,-0.54,18.6,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,26.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,-0.01,1.0,2.0,4.0,0.0,0.0,0.0,,,,,,,,元大-屏東民生,15.79%,統一-屏東,10.53%,元大-城東,10.53%
1264,德麥,食品工業,251.5,0.0,0.0,251.5,255.5,1.59,-0.39,19.96,-12.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,-12.0,-0.03,4.25,-0.0,-0.0,1.78,-2.0,-0.01,0.0,-0.0,0.0,0.0,0.0,0.0,-0.1,-0.15,-0.34,0.0,0.0,0.0,-0.03,-0.05,-0.08,,,,4.4,6.1,6.9,,國泰-板橋,5%,台新證券,5%,國泰-桃園,5%
1268,漢來美食,觀光事業,129.0,-2.27,1.16,130.5,130.0,0.78,-0.76,159.74,8.0,1.0,0.0,0.0,,4.0,1.0,6.0,5.0,0.0,0.0,0.0,8.0,0.02,0.24,0.0,0.0,0.0,6.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.06,0.06,3.0,5.0,10.0,0.09,-0.68,-0.62,,,,0.0,8.05,13.55,18.88,群益金鼎-開元,8.75%,兆豐-東門,5%,凱基-台北,5%
1301,台塑,塑膠工業,89.1,-1.76,-0.22,88.9,89.1,0.0,-1.0,7193.92,778.0,3.0,-3.0,8.0,-3.67,4.0,196.0,-174.0,-1.89,211.0,0.0,1.32,638.0,0.01,34.85,-71.0,-0.0,0.91,-13.0,-0.0,0.01,0.0,0.0,4.0,6.0,13.0,0.04,0.19,0.45,4.0,9.0,17.0,0.0,0.08,0.23,,,,-0.5,-0.33,0.71,3.4,台灣摩根士丹利,24.38%,凱基-台北,12.89%,花旗環球,7.49%
1303,南亞,塑膠工業,77.1,-0.64,0.13,77.2,76.7,-0.52,-1.79,7592.94,1284.0,2.0,0.0,1.0,inf,2.0,14.0,-13.0,-1.93,107.0,0.0,1.89,1295.0,0.02,30.26,-118.0,-0.0,0.69,-114.0,-0.0,0.11,0.24,0.24,5.0,10.0,15.0,-0.01,0.07,0.48,2.0,5.0,15.0,0.03,0.2,0.4,,,,-0.3,-0.03,2.08,6.96,富邦證券,9.06%,花旗環球,7.32%,凱基-台北,6.12%
1304,台聚,塑膠工業,21.9,-1.57,-0.46,21.8,21.8,-0.46,-1.58,1802.48,-454.0,2.0,-18.0,-17.0,-0.06,4.0,91.0,24.0,-0.74,-15.0,-0.0,1.57,-314.0,-0.03,33.45,-125.0,-0.01,0.23,-300.0,-0.03,0.0,-0.03,0.03,0.0,0.0,3.0,-0.1,-0.12,-0.06,1.0,3.0,9.0,-0.16,-0.15,-0.15,,,,-0.05,0.6,0.87,0.83,台灣匯立證券,12.93%,元大-大里德芳,5.55%,凱基-站前,4.44%
1305,華夏,塑膠工業,22.3,0.9,1.12,22.55,22.45,0.67,-0.44,1504.41,-228.0,3.0,18.0,15.0,-0.17,4.0,96.0,166.0,0.73,0.0,0.0,0.21,-367.0,-0.06,9.62,139.0,0.02,0.17,17.0,0.0,-0.0,-0.0,-0.0,1.0,2.0,10.0,-0.47,-0.34,-0.22,0.0,3.0,9.0,-0.23,-0.14,-0.08,,,,0.3,0.89,1.38,1.65,亞東,9.31%,日盛-信義,7.31%,凱基-台北,7.11%
1307,三芳,塑膠工業,21.55,-1.37,0.46,21.65,21.5,-0.23,-1.6,246.21,13.0,1.0,-1.0,0.0,-1.0,3.0,-4.0,-144.0,35.0,0.0,0.0,0.0,13.0,0.0,11.0,0.0,0.0,0.13,-2.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.03,0.04,0.06,5.0,7.0,11.0,0.05,0.05,0.04,,,,0.01,0.27,0.58,0.72,元大-土城,28.46%,華南永昌-東昇,12.2%,日盛-台中,8.94%
1308,亞聚,塑膠工業,28.7,-1.54,0.0,28.7,28.55,-0.52,-1.21,1463.65,66.0,2.0,-4.0,-68.0,16.0,2.0,-92.0,-113.0,0.23,0.0,0.0,0.46,92.0,0.02,9.12,-26.0,-0.0,0.33,-98.0,-0.02,0.05,0.05,0.17,2.0,2.0,9.0,0.26,0.36,0.76,4.0,7.0,15.0,0.05,0.02,0.22,,,,0.18,1.09,1.61,1.8,台灣匯立證券,4.17%,統一-城中,3.48%,元大-台北,2.73%
1309,台達化,塑膠工業,22.25,0.0,0.0,22.25,22.35,0.45,-1.32,2632.54,170.0,3.0,17.0,-36.0,-3.12,2.0,105.0,-1.0,-1.01,0.0,0.0,0.05,171.0,0.04,3.33,-1.0,-0.0,0.3,216.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.2,3.0,4.0,10.0,-0.21,-0.42,-0.47,,,,0.48,1.5,1.75,1.69,台灣摩根士丹利,10.94%,新光,4.48%,凱基-台北,3.34%
1310,台苯,塑膠工業,14.1,-1.4,0.0,14.1,14.15,0.35,-0.7,473.1,-85.0,1.0,0.0,0.0,,4.0,26.0,11.0,-0.58,0.0,0.0,0.0,-83.0,-0.02,6.52,-2.0,-0.0,0.41,30.0,0.01,0.0,0.0,-0.0,0.0,0.0,0.0,-0.05,0.02,0.1,1.0,5.0,12.0,-0.01,0.03,0.05,,,,0.0,0.37,0.67,0.9,元大-金華,16.91%,安泰,10.57%,玉山-嘉義,5.07%
1312,國喬,塑膠工業,20.3,-1.93,0.0,20.3,20.2,-0.49,-0.98,5017.37,-1080.0,1.0,-45.0,-24.0,-0.47,3.0,636.0,222.0,-0.65,0.0,0.0,0.01,-899.0,-0.1,14.22,-181.0,-0.02,10.14,-210.0,-0.02,0.0,0.0,-0.0,1.0,2.0,11.0,-0.48,-0.4,-1.13,1.0,3.0,4.0,0.58,1.07,1.08,,,,0.01,1.12,1.75,2.22,玉山-台南,3.91%,富邦-台北,3.87%,亞東,3.59%
1313,聯成,塑膠工業,13.9,-0.71,0.72,14.0,14.1,1.44,-1.74,2225.65,322.0,4.0,-6.0,6.0,-2.0,4.0,4.0,238.0,58.5,0.0,0.0,0.02,332.0,0.02,10.23,-10.0,-0.0,0.1,426.0,0.03,0.0,0.0,0.0,1.0,2.0,11.0,0.02,0.11,0.21,4.0,8.0,12.0,0.01,0.02,0.03,,,,0.19,0.67,1.05,1.36,摩根大通,11.59%,富邦-台北,7.41%,元富,7.19%
1314,中石化,塑膠工業,10.25,0.99,0.98,10.35,10.25,0.0,-1.44,8513.59,413.0,3.0,-24.0,4.0,-1.17,3.0,-81.0,211.0,-3.6,0.0,0.0,0.05,651.0,0.02,12.13,-238.0,-0.01,0.26,-1437.0,-0.04,-0.0,-0.0,0.0,1.0,2.0,10.0,0.07,0.24,0.65,4.0,8.0,15.0,0.06,0.15,0.24,,,,-0.01,0.18,0.33,0.58,元大-東蘆,4.76%,彰銀-台中,4.69%,凱基-台南,2.35%
1315,達新,塑膠工業,70.8,0.57,-0.14,70.7,72.4,2.26,-0.14,40.78,8.0,0.0,0.0,0.0,,1.0,0.0,0.0,,0.0,0.0,0.02,8.0,0.01,1.4,0.0,0.0,0.07,7.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.02,4.0,9.0,15.0,0.01,0.01,-0.0,,,,1.58,2.27,3.72,5.12,永豐金-苓雅,21.95%,花旗環球,12.2%,玉山-台中,12.2%
1316,上曜,建材營造,13.3,1.14,0.38,13.35,13.35,0.38,-1.84,1053.62,-127.0,1.0,-3.0,0.0,-1.0,3.0,168.0,265.0,0.58,0.0,0.0,0.0,-127.0,-0.06,2.06,0.0,0.0,0.01,104.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.3,-0.42,4.0,7.0,11.0,0.29,0.17,-0.22,,,,0.27,0.65,0.74,,群益金鼎-新店,13.19%,富邦-南屯,9.49%,凱基-彰化,6.64%
1319,東陽,汽車工業,48.75,-1.12,1.13,49.3,49.0,0.51,-0.81,4677.43,-108.0,2.0,-93.0,-9.0,-0.9,3.0,12.0,-169.0,-15.08,120.0,0.02,0.6,-79.0,-0.01,28.58,-149.0,-0.03,0.59,86.0,0.01,0.33,0.33,-0.49,4.0,5.0,9.0,-0.02,0.18,0.75,1.0,4.0,11.0,0.02,-0.06,-1.37,,,,0.41,1.97,3.05,0.95,凱基-台北,4.11%,宏遠-台中,2.69%,台灣摩根士丹利,2.54%
1321,大洋,塑膠工業,34.0,-0.15,-0.29,33.9,34.1,0.29,-0.58,103.0,5.0,0.0,0.0,0.0,,1.0,-5.0,-12.0,1.4,0.0,0.0,0.0,6.0,0.0,4.71,-1.0,-0.0,0.1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,-0.04,4.0,5.0,5.0,-0.02,-0.04,-0.09,,,,0.15,0.56,0.75,0.04,新光-新竹,17.48%,宏遠證券,9.71%,臺銀,7.77%
1323,永裕,塑膠工業,32.95,-0.15,-0.15,32.9,33.0,0.15,0.0,57.92,3.0,0.0,0.0,0.0,,1.0,-3.0,-7.0,1.33,0.0,0.0,0.0,3.0,0.0,3.01,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,-0.0,0.01,3.0,6.0,10.0,-0.0,0.0,-0.01,,,,0.03,0.12,0.13,-0.06,凱基-東門,27.59%,致和-府前,22.41%,花旗環球,6.9%
1324,地球,塑膠工業,10.5,-0.94,0.48,10.55,10.55,0.48,-0.47,38.14,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,3.0,0.0,0.79,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.02,4.0,8.0,13.0,0.0,-0.0,-0.0,,,,0.04,0.09,0.1,0.04,富邦-台中,34.21%,華南永昌-淡水,10.53%,花旗環球,7.89%
1325,恆大,塑膠工業,24.3,0.41,0.82,24.5,24.35,0.21,-1.62,257.86,-2.0,2.0,-8.0,-10.0,0.25,4.0,33.0,7.0,-0.79,0.0,0.0,0.0,-2.0,-0.0,4.4,0.0,0.0,5.15,3.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.15,-0.25,-0.03,1.0,3.0,9.0,-0.08,-0.07,-0.1,,,,-0.14,0.84,1.33,1.27,元大-中壢,11.63%,中國信託-文心,3.88%,新百王,3.88%
1326,台化,塑膠工業,74.5,-1.19,-0.67,74.0,74.1,-0.54,-0.8,1956.29,-246.0,1.0,0.0,0.0,,3.0,37.0,21.0,-0.43,10.0,0.0,0.8,-232.0,-0.0,34.12,-24.0,-0.0,0.75,-100.0,-0.0,-0.0,-0.0,0.0,2.0,3.0,11.0,0.04,0.08,0.33,3.0,6.0,15.0,0.02,0.04,0.18,,,,-0.72,0.07,0.92,4.23,美商高盛,12.32%,臺銀,10.33%,花旗環球,5.67%
1336,台翰,電子零組件業,28.5,-2.56,-1.05,28.2,28.55,0.18,-2.56,783.11,-177.0,1.0,-3.0,0.0,-1.0,3.0,-83.0,205.0,-3.47,0.0,0.0,0.0,-192.0,-0.25,3.19,15.0,0.02,0.62,-9.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0.57,0.05,3.0,7.0,12.0,0.05,0.23,0.63,,,,0.43,1.07,2.0,3.47,新光,10.86%,華南永昌,4.34%,富邦-台北,3.19%
1337,再生-KY,塑膠工業,7.21,1.55,0.55,7.25,7.06,-2.08,-3.81,1548.96,-440.0,2.0,1.0,-1.0,-2.0,2.0,-95.0,92.0,-1.97,0.0,0.0,0.0,-440.0,-0.16,26.22,-0.0,-0.0,0.08,-581.0,-0.22,0.0,-0.0,-0.0,0.0,0.0,0.0,0.23,0.14,-0.39,4.0,5.0,8.0,-0.12,-0.18,-0.56,,,,-0.04,0.04,0.01,-0.22,國票-安和,4.91%,國泰-敦南,3.94%,台灣企銀-太平,3.23%
