id,name,category,昨日收盤價,昨日漲跌幅,開盤位置,開盤價,收盤價,漲跌幅,A轉跌幅,成交量,三大買賣超,融券5N,前日融券,昨日融券,昨日融券5MAX,昨日融券10MAX,昨日融券20MAX,融券差額(張),昨日融券5增張,融券增加,融資5N,昨日融資,融資差額(張),投信買賣超(張),投信買賣超%,投信持股比例,外資買賣超(張),外資買賣超%,外資持股比例,自營商買賣超(張),自營商買賣超%,自營商持股比例,主力買賣超(張),主力今日%,主力5買%,主力10買%,主力20買%,月增率%,年增率%,累計年增率%,ma5距離,ma10距離,ma20距離,ma60距離,買超主力,買超趴數,買超主力2,買超趴數2,買超主力3,買超趴數3
1215,卜蜂,食品工業,89.8,0.22,0.0,89.8,90.7,1.0,-0.55,747.55,82.0,1.0,0.0,0.0,0.0,0.0,15.0,1.0,-9.0,inf,2.0,24.0,30.0,34.0,0.01,0.64,75.0,0.03,39.45,-27.0,-0.01,0.58,-18.0,-0.01,-0.4,-0.86,-1.07,,,,0.64,-0.08,-1.77,2.08,統一-仁愛,8.29%,摩根大通,5.21%,凱基-台北,4.95%
1216,統一,食品工業,74.3,0.0,0.0,74.3,74.5,0.27,-0.4,4452.65,-1434.0,1.0,-1.0,1.0,2.0,2.0,115.0,0.0,-109.0,-1.0,1.0,-8.0,7.0,-5.0,-0.0,1.45,-1447.0,-0.03,40.84,18.0,0.0,0.7,44.0,0.0,-0.01,0.01,0.12,,,,0.02,-0.47,-0.34,1.88,永豐金-內湖,15.65%,國泰證券,11.7%,統一,11.23%
1217,愛之味,食品工業,11.3,0.0,0.0,11.3,11.3,0.0,-0.44,741.99,-262.0,0.0,-4.0,-2.0,0.0,72.0,72.0,-2.0,-77.0,0.0,4.0,23.0,2.0,-285.0,-0.06,0.0,21.0,0.0,9.12,2.0,0.0,0.28,-90.0,-0.02,-0.14,-0.05,0.28,,,,-0.02,-0.11,0.01,-0.04,台中銀-豐原,14.82%,元大-沙鹿,8.09%,摩根大通,4.45%
1218,泰山,食品工業,31.85,0.0,0.47,32.0,30.95,-2.83,-3.28,5686.1,-424.0,4.0,20.0,2.0,20.0,58.0,1576.0,-11.0,18.0,-6.5,2.0,148.0,-68.0,47.0,0.01,0.04,-977.0,-0.2,2.27,506.0,0.1,0.49,-1100.0,-0.22,-0.52,-0.77,-0.84,,,,-0.73,-0.25,-0.34,0.8,統一,11.19%,第一金-華江,2.25%,元富-大裕,1.57%
1219,福壽,食品工業,20.85,0.0,0.24,20.9,20.95,0.48,-0.48,478.78,164.0,0.0,0.0,0.0,2.0,6.0,14.0,0.0,2.0,,1.0,-46.0,-51.0,0.0,0.0,0.0,156.0,0.05,3.87,8.0,0.0,0.15,45.0,0.01,0.0,-0.11,-0.31,,,,0.0,-0.05,-0.12,-0.33,凱基-台北,16.08%,美林,6.68%,統一-松江,4.18%
1220,台榮,食品工業,15.0,0.33,0.0,15.0,15.0,0.0,-0.66,207.79,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,-16.0,4.0,0.0,0.0,0.0,46.0,0.03,6.92,2.0,0.0,0.08,-27.0,-0.02,-0.03,-0.01,-0.22,,,,-0.03,-0.21,-0.28,-1.36,凱基-台北,14.9%,凱基-高美館,10.1%,富邦-南員林,9.62%
1225,福懋油,食品工業,56.8,-1.73,-0.88,56.3,56.8,0.0,-0.35,23.52,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,1.0,1.0,0.0,0.0,0.0,-1.0,-0.0,0.6,0.0,0.0,0.08,0.0,0.0,-0.01,-0.01,-0.01,,,,-0.74,-2.03,,,國票-和平,25%,美林,8.33%,統一-彰化,8.33%
1227,佳格,食品工業,41.05,0.24,0.12,41.1,41.1,0.12,-0.24,431.98,-51.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,-10.0,,4.0,11.0,-8.0,-124.0,-0.01,0.0,69.0,0.01,6.7,4.0,0.0,0.28,-73.0,-0.01,-0.06,-0.08,0.07,,,,0.06,-0.29,-0.02,0.27,摩根大通,18.06%,元大證券,14.81%,宏遠證券,4.63%
1229,聯華,食品工業,62.3,-0.64,0.48,62.6,62.7,0.64,-0.32,499.03,83.0,0.0,0.0,0.0,0.0,2.0,27.0,0.0,-4.0,,3.0,-105.0,4.0,-10.0,-0.0,0.07,91.0,0.01,11.09,2.0,0.0,0.26,94.0,0.01,-0.01,0.01,0.06,,,,-0.06,-0.03,0.47,3.49,新加坡商瑞銀,15.23%,華南永昌-中正,8.82%,美林,6.61%
1231,聯華食,食品工業,90.8,-0.11,-0.77,90.1,90.7,-0.11,-0.22,80.56,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.91,1.0,0.0,0.08,-11.0,-0.0,-0.17,-0.19,-0.44,,,,-0.14,-0.65,-1.11,0.33,凱基-台北,17.28%,元大-林森,9.88%,統一-中壢,6.17%
1232,大統益,食品工業,151.5,0.0,0.0,151.5,152.0,0.33,-0.33,36.38,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,-2.0,1.0,0.0,0.0,0.0,3.0,0.0,1.2,1.0,0.0,0.28,-3.0,-0.0,0.01,0.0,0.03,,,,0.3,0.1,0.22,2.38,永豐金-嘉義,27.78%,凱基-台南,8.33%,新加坡商瑞銀,5.56%
1233,天仁,食品工業,34.95,-0.99,0.0,34.95,35.35,1.14,-0.14,30.27,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.01,5.23,0.0,0.0,0.04,3.0,0.0,0.01,0.02,-0.01,,,,0.23,0.49,0.94,1.03,玉山-嘉義,26.67%,元大-嘉義,20%,美商高盛,16.67%
1234,黑松,食品工業,37.4,-0.13,0.27,37.5,37.45,0.13,-0.13,208.02,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,-18.0,-3.0,0.0,0.0,0.0,39.0,0.01,6.03,-0.0,-0.0,0.15,-45.0,-0.01,-0.03,-0.03,-0.03,,,,0.1,-0.04,0.17,1.09,臺銀,12.02%,摩根大通,11.06%,凱基-台北,4.81%
1235,興泰,食品工業,81.0,3.85,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.04,1.0,0.0,0.0,-0.0,0.0,,,,,,,,,,,,,
1236,宏亞,食品工業,23.45,-0.21,-0.43,23.35,23.4,-0.21,0.0,71.11,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-5.0,-2.0,0.0,0.0,0.0,-13.0,-0.01,0.78,0.0,0.0,0.39,-1.0,-0.0,-0.0,0.0,-0.04,,,,-0.1,-0.2,-0.22,-0.36,元富-吉利,16.9%,元大-淡水,15.49%,臺銀-金山,14.08%
1240,茂生農經,農業科技,45.2,0.11,0.0,45.2,45.1,-0.22,-0.44,19.4,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,-5.0,0.0,0.0,0.0,-2.0,-0.01,10.33,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,,,,-0.22,-0.47,-0.42,-0.53,元大-新莊,26.32%,玉山證券,15.79%,玉山-板橋,10.53%
1256,鮮活果汁-KY,食品工業,,0.0,,318.0,314.0,-1.26,-1.26,8.53,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.03,-2.0,-0.01,3.67,0.0,0.0,0.07,-1.0,-0.0,-0.0,-0.0,-0.03,,,,,,,,美林,22.22%,凱基-台北,11.11%,富邦-員林,11.11%
1258,其祥-KY,食品工業,26.85,0.0,,,,0.0,,,,0.0,,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1259,安心,觀光事業,76.8,1.05,0.39,77.1,77.0,0.26,-0.26,14.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,26.23,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.07,,,,0.4,0.87,1.54,,凱基-站前,42.86%,元大-路竹,14.29%,美好-泰山,7.14%
1264,德麥,食品工業,282.5,0.0,-0.18,282.0,282.0,-0.18,0.0,10.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,2.46,0.0,0.0,1.82,-1.0,-0.0,0.0,-0.01,-0.13,,,,-0.2,-0.1,-0.23,6.78,元大-汐止,18.18%,元大-樹林,9.09%,臺銀-高雄,9.09%
1268,漢來美食,觀光事業,162.5,2.85,-0.31,162.0,163.5,0.62,-0.61,320.48,98.0,1.0,-1.0,2.0,2.0,2.0,5.0,-2.0,1.0,-2.0,1.0,-9.0,-4.0,0.0,0.0,0.0,113.0,0.26,5.11,-15.0,-0.04,0.81,25.0,0.06,0.11,0.27,0.72,,,,3.1,3.1,6.03,17.48,凱基-台北,17.19%,美商高盛,6.25%,摩根大通,4.38%
1301,台塑,塑膠工業,94.1,0.64,0.0,94.1,93.3,-0.85,-0.85,6302.16,-2213.0,3.0,-1.0,4.0,4.0,5.0,7.0,-8.0,5.0,-3.0,0.0,-3.0,-78.0,620.0,0.01,2.58,-2879.0,-0.05,33.15,46.0,0.0,1.0,-802.0,-0.01,0.0,-0.01,0.04,,,,-0.24,-0.28,-0.29,0.86,港商野村,19.01%,元大證券,10.77%,國泰證券,6.25%
1303,南亞,塑膠工業,77.7,-0.51,0.77,78.3,77.6,-0.13,-1.02,4739.33,-1324.0,1.0,2.0,-4.0,2.0,3.0,3.0,0.0,-6.0,-1.0,2.0,16.0,-14.0,-72.0,-0.0,3.14,-1231.0,-0.02,29.8,-21.0,-0.0,0.77,-805.0,-0.01,-0.02,0.02,0.14,,,,-0.52,-1.71,-1.19,0.13,康和,10.55%,富邦證券,7.6%,凱基-台北,4.73%
1304,台聚,塑膠工業,23.0,0.66,0.0,23.0,22.8,-0.87,-0.87,1395.23,-346.0,4.0,1.0,5.0,9.0,9.0,62.0,0.0,17.0,-1.0,4.0,-34.0,7.0,0.0,0.0,0.69,-314.0,-0.03,34.78,-32.0,-0.0,0.36,-517.0,-0.04,-0.15,-0.18,-0.35,,,,-0.06,-0.42,-0.66,-2.22,元大-中壢,3.66%,新光-台南,2.29%,美商高盛,2.15%
1305,華夏,塑膠工業,23.6,-1.26,0.42,23.7,23.6,0.0,-0.84,954.76,-144.0,3.0,-24.0,-8.0,15.0,15.0,15.0,2.0,-9.0,-1.25,3.0,-17.0,9.0,-140.0,-0.02,0.0,29.0,0.0,10.52,-33.0,-0.01,0.18,-98.0,-0.02,-0.21,-0.12,-0.51,,,,-0.25,-0.55,-0.34,-1.87,統一,10.79%,兆豐證券,10.58%,元大-路竹,8.48%
1307,三芳,塑膠工業,23.3,2.64,0.64,23.45,23.25,-0.21,-1.06,331.79,31.0,2.0,1.0,-1.0,2.0,2.0,30.0,0.0,3.0,-1.0,2.0,16.0,-28.0,0.0,0.0,0.0,72.0,0.02,11.14,-41.0,-0.01,0.19,-5.0,-0.0,-0.04,0.0,-0.05,,,,0.14,-0.3,0.19,1.52,摩根大通,13.86%,凱基-台北,9.04%,統一-竹南,4.52%
1308,亞聚,塑膠工業,25.8,0.0,0.39,25.9,26.0,0.78,-0.38,709.36,-24.0,2.0,2.0,1.0,2.0,3.0,6.0,-1.0,-2.0,-2.0,2.0,-6.0,-36.0,0.0,0.0,0.0,2.0,0.0,8.32,-26.0,-0.0,0.33,-26.0,-0.0,-0.15,-0.13,-0.45,,,,0.08,-0.14,-0.14,-1.81,美商高盛,6.91%,新加坡商瑞銀,6.77%,元大-南勢角,4.94%
1309,台達化,塑膠工業,20.1,0.75,0.0,20.1,20.0,-0.5,-0.5,221.87,-22.0,1.0,0.0,0.0,7.0,7.0,43.0,0.0,-3.0,,3.0,5.0,-5.0,0.0,0.0,0.05,-20.0,-0.01,2.39,-2.0,-0.0,0.4,-40.0,-0.01,-0.03,0.01,-0.1,,,,0.02,-0.05,0.03,-0.93,台灣摩根士丹利,15.32%,元大-大灣,8.11%,富邦-花蓮,6.76%
1310,台苯,塑膠工業,16.5,0.3,1.82,16.8,17.0,3.03,-1.16,4592.53,468.0,4.0,-35.0,4.0,22.0,22.0,27.0,117.0,-15.0,28.25,1.0,28.0,-231.0,168.0,0.03,0.06,298.0,0.06,5.93,2.0,0.0,0.49,232.0,0.04,-0.04,-0.02,-0.19,,,,0.36,0.24,0.38,1.61,德信-和平,4.35%,香港上海匯豐,3.66%,新加坡商瑞銀,2.9%
1312,國喬,塑膠工業,19.0,0.26,0.26,19.05,19.15,0.79,0.0,1058.68,182.0,4.0,10.0,3.0,10.0,100.0,100.0,8.0,8.0,1.67,1.0,-127.0,-95.0,-4.0,-0.0,0.02,152.0,0.02,13.09,34.0,0.0,9.53,49.0,0.01,-0.15,-0.25,-0.59,,,,0.14,0.04,-0.02,-0.59,凱基-台北,11.8%,美商高盛,6.33%,摩根大通,4.72%
1313,聯成,塑膠工業,14.35,1.41,0.0,14.35,14.2,-1.05,-1.39,853.68,-104.0,1.0,-20.0,-210.0,1.0,1.0,2.0,0.0,-229.0,-1.0,2.0,80.0,-32.0,-275.0,-0.02,0.0,89.0,0.01,10.61,82.0,0.01,0.18,-98.0,-0.01,-0.04,-0.03,-0.02,,,,0.0,-0.16,-0.16,-0.45,台新證券,9.13%,中農,7.96%,美林,6.56%
1314,中石化,塑膠工業,9.8,1.03,0.1,9.81,9.78,-0.2,-0.61,7726.04,1114.0,1.0,1.0,-1.0,1.0,19.0,45.0,-1.0,-5.0,0.0,4.0,625.0,60.0,-507.0,-0.01,0.04,1598.0,0.04,11.6,23.0,0.0,0.33,-642.0,-0.02,-0.32,-0.41,-0.98,,,,0.03,-0.01,-0.04,-0.19,凱基-台北,20.85%,華南永昌-高雄,2.14%,中國信託-文心,2.03%
1315,達新,塑膠工業,70.2,0.14,0.14,70.3,70.3,0.14,0.0,6.26,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-1.0,0.0,0.0,0.0,0.02,-1.0,-0.0,1.31,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.01,,,,0.06,-0.02,0.08,-0.59,美商高盛,16.67%,美林,16.67%,宏遠-台中,16.67%
1316,上曜,建材營造,12.6,0.4,-0.79,12.5,12.55,-0.4,-0.79,516.57,42.0,2.0,4.0,5.0,5.0,5.0,5.0,0.0,-3.0,-1.0,2.0,17.0,-66.0,0.0,0.0,0.0,42.0,0.02,1.19,0.0,0.0,0.04,5.0,0.0,-0.87,-1.07,-1.98,,,,-0.02,-0.38,-0.62,-0.68,凱基-台北,15.28%,元大-大同,6.19%,元富-安南,3.87%
1319,東陽,汽車工業,49.5,-0.8,0.1,49.55,49.55,0.1,-1.1,2328.39,-247.0,2.0,4.0,-44.0,20.0,20.0,47.0,-2.0,-20.0,-0.95,3.0,113.0,11.0,-40.0,-0.01,0.13,-185.0,-0.03,23.38,-22.0,-0.0,0.75,79.0,0.01,-0.1,0.0,-0.1,,,,-0.14,-0.31,0.27,2.17,永豐金證券,10.57%,元大證券,5.93%,第一金-中山,3.31%
1321,大洋,塑膠工業,34.15,0.44,-0.15,34.1,34.05,-0.29,-0.15,121.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,,0.0,-3.0,-13.0,0.0,0.0,0.0,15.0,0.01,4.6,1.0,0.0,0.18,-6.0,-0.0,-0.01,0.01,0.04,,,,-0.07,-0.2,-0.05,-1.62,國票-長城,16.53%,摩根大通,14.05%,兆豐-新營,11.57%
1323,永裕,塑膠工業,32.65,0.0,0.0,32.65,32.65,0.0,-0.31,60.12,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-20.0,-17.0,0.0,0.0,0.0,3.0,0.0,2.89,0.0,0.0,0.07,0.0,0.0,-0.01,-0.01,-0.01,,,,-0.07,-0.18,-0.24,-0.4,凱基-東門,23.33%,新光-台南,6.67%,元大-豐原站前,5%
1324,地球,塑膠工業,11.55,0.43,0.43,11.6,11.65,0.87,0.0,62.53,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.79,-1.0,-0.0,0.07,-9.0,-0.01,-0.02,-0.02,-0.11,,,,0.15,0.08,0.12,0.22,臺銀-民權,23.81%,富邦-八德,9.52%,永豐金-中和,4.76%
1325,恆大,塑膠工業,25.0,-0.2,0.0,25.0,25.95,3.8,-0.19,705.81,281.0,2.0,-7.0,-1.0,26.0,26.0,26.0,21.0,35.0,-22.0,3.0,-2.0,35.0,0.0,0.0,0.0,237.0,0.28,4.19,44.0,0.05,5.38,164.0,0.19,0.05,0.1,0.11,,,,0.61,0.66,1.42,1.9,凱基-台北,11.76%,元大-松山,7.08%,新加坡商瑞銀,6.94%
1326,台化,塑膠工業,68.4,-0.29,0.88,69.0,68.2,-0.29,-1.3,1686.32,-910.0,1.0,-7.0,-1.0,4.0,4.0,5.0,0.0,-4.0,-1.0,5.0,3.0,18.0,-13.0,-0.0,0.84,-922.0,-0.02,33.99,25.0,0.0,0.84,-683.0,-0.01,-0.05,-0.01,0.0,,,,-0.48,-1.11,-0.81,-0.99,新光,3.68%,美好-富順,3.56%,臺銀-新竹,2.14%
1336,台翰,電子零組件業,25.0,2.46,-0.8,24.8,24.85,-0.6,-0.6,90.27,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,-14.0,7.0,0.0,0.0,0.0,-4.0,-0.01,5.0,0.0,0.0,0.03,-27.0,-0.03,-0.23,-0.51,-1.39,,,,0.35,0.25,-0.27,-1.83,統一,6.67%,群益金鼎-彰化,5.56%,華南永昌-台南,5.56%
1337,再生-KY,塑膠工業,8.07,-0.37,0.12,8.08,8.1,0.37,-0.86,676.06,-58.0,2.0,2.0,-1.0,2.0,2.0,22.0,-2.0,0.0,1.0,3.0,30.0,-78.0,0.0,0.0,0.0,-56.0,-0.02,26.55,-2.0,-0.0,0.13,-49.0,-0.02,-0.07,-0.1,-0.15,,,,-0.01,-0.17,0.01,0.69,群益金鼎-館前,7.69%,凱基-桃園,4.44%,中國信託-忠孝,4.14%
1338,廣華-KY,汽車工業,44.8,-0.11,0.0,44.8,44.8,0.0,0.0,85.6,-66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.0,3.0,12.0,0.0,0.0,0.0,-62.0,-0.07,8.47,-4.0,-0.0,0.17,-22.0,-0.03,-0.15,-0.12,-0.29,,,,0.57,0.73,1.0,-0.23,統一-彰化,25.58%,國票-台南,6.98%,(牛牛牛)亞-鑫豐,5.81%
1339,昭輝,汽車工業,44.4,0.68,0.11,44.45,44.5,0.23,-0.22,188.32,53.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,2.0,-4.0,-3.0,0.0,0.0,0.0,53.0,0.07,1.52,-0.0,-0.0,0.29,-15.0,-0.02,-0.02,-0.04,-0.13,,,,0.25,0.25,0.58,-0.12,凱基-台北,19.15%,港商野村,8.51%,兆豐-北高雄,6.38%
1340,勝悅-KY,塑膠工業,13.2,1.15,-2.27,12.9,13.1,-0.76,-1.5,121.7,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.0,11.0,10.0,0.0,0.0,0.0,-1.0,-0.0,28.29,0.0,0.0,0.32,0.0,0.0,0.02,-0.05,0.22,,,,0.04,0.02,0.05,1.45,富邦-士林,12.3%,富邦-竹東,9.02%,群益金鼎-三重,8.2%
1341,富林-KY,塑膠工業,72.0,1.41,-2.22,70.4,71.9,-0.14,0.0,2.01,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,82.51,0.0,0.0,0.03,0.0,0.0,0.0,-0.0,0.0,,,,0.3,0.52,1.29,1.94,兆豐-台南,50%,康和-板橋,0%,新光-台中,0%
1342,八貫,其他,126.0,1.2,-0.79,125.0,125.0,-0.79,-1.19,319.08,41.0,2.0,-12.0,3.0,6.0,38.0,38.0,-3.0,-16.0,-2.0,2.0,-3.0,21.0,0.0,0.0,0.0,19.0,0.03,43.64,22.0,0.03,0.76,-12.0,-0.02,-0.32,-1.17,-2.09,,,,-0.2,-2.75,-4.93,-19.1,凱基-台北,6.9%,兆豐證券,4.39%,台新-高雄,4.08%
1402,遠東新,紡織纖維,32.3,0.62,-0.46,32.15,31.7,-1.86,-1.55,6030.4,-3442.0,2.0,0.0,0.0,2.0,2.0,13.0,0.0,4.0,,3.0,-59.0,60.0,-18.0,-0.0,6.7,-4240.0,-0.08,16.35,816.0,0.02,0.87,-1966.0,-0.04,-0.01,-0.02,-0.01,,,,-0.25,-0.29,-0.34,-0.02,台新證券,7.93%,亞東,5.84%,新光,4.73%
1409,新纖,紡織纖維,17.15,0.29,0.0,17.15,17.1,-0.29,-0.29,1597.73,-245.0,3.0,0.0,3.0,3.0,30.0,79.0,1.0,4.0,-0.67,2.0,-8.0,-1.0,352.0,0.02,0.93,-602.0,-0.04,12.57,5.0,0.0,0.3,-299.0,-0.02,-0.1,-0.19,-0.56,,,,-0.03,-0.06,-0.08,-0.58,元大證券,20.46%,元大-頭份,6.38%,美林,5.19%
1410,南染,紡織纖維,37.25,0.0,-0.13,37.2,37.2,-0.13,-0.13,21.14,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-2.0,0.0,0.0,0.0,-4.0,-0.01,21.8,0.0,0.0,0.06,0.0,0.0,0.01,0.0,-0.02,,,,-0.05,-0.03,-0.42,,富邦-新竹,38.1%,群益金鼎-大甲,9.52%,元富-永和,9.52%
1413,宏洲,紡織纖維,9.1,0.55,0.99,9.19,9.08,-0.22,-1.3,20.15,0.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.01,0.0,0.0,-0.01,-0.04,-0.04,,,,-0.02,-0.04,-0.09,-0.36,新光,50%,玉山-板橋,5%,富邦-陽明,5%
