date,id,name,category,昨日收盤價,昨日漲跌幅,開盤位置,開盤價,收盤價,漲跌幅,A轉跌幅,成交量,三大買賣超,融券5N,昨日融券,融券差額(張),融券增加,融資5N,昨日融資,融資差額(張),投信買賣超(張),投信買賣超%,投信持股比例,外資買賣超(張),外資買賣超%,外資持股比例,自營商買賣超(張),自營商買賣超%,自營商持股比例,主力買賣超(張),主力今日%,投信5買%,投信10買%,投信20買%,投信5買N天,投信10買N天,投信20買N天,外資5買%,外資10買%,外資20買%,外資5買N天,外資10買N天,外資20買N天,主力5買%,主力10買%,主力20買%,月增率%,年增率%,累計年增率%,ma5距離,ma10距離,ma20距離,ma60距離,買超主力,買超趴數,買超主力2,買超趴數2,買超主力3,買超趴數3
2023-02-06,6535,順藥,生技醫療業,42.4,-0.93,0.0,42.4,41.35,-2.48,-2.48,566.8,-17.0,,,,,,,,0.0,0.0,0.0,-16.0,-0.01,0.32,-1.0,-0.0,0.01,-30.0,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.16,-0.04,4.0,6.0,7.0,-0.1,-0.08,-0.53,,,,-0.81,0.4,1.06,2.95,富邦-仁愛,10.41%,華南永昌-台中,4.59%,永豐金-台中,3.7%
2023-02-06,4744,皇將,生技醫療業,29.4,3.16,-0.17,29.35,29.1,-1.02,-2.02,563.58,21.0,2.0,-32.0,-2.0,-0.94,3.0,-101.0,-190.0,0.0,0.0,0.0,21.0,0.04,2.84,0.0,0.0,0.08,-70.0,-0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.66,0.6,5.0,8.0,11.0,0.07,0.31,0.31,,,,0.99,1.98,2.85,2.91,凱基-中港,8.16%,元大-西門,5.67%,群益金鼎-台南,4.61%
2023-02-06,6451,訊芯-KY,半導體業,87.8,3.54,-0.8,87.1,86.0,-2.05,-2.49,566.22,32.0,5.0,2.0,1.0,-0.5,2.0,-52.0,13.0,0.0,0.0,0.09,27.0,0.03,62.26,5.0,0.0,1.55,-74.0,-0.07,0.0,0.0,-0.0,0.0,0.0,0.0,-0.07,-0.23,-1.54,3.0,5.0,5.0,-0.0,-0.13,-0.96,,,,0.36,3.17,3.53,2.65,台灣摩根士丹利,7.95%,新加坡商瑞銀,3.53%,凱基-板橋,3.53%
2023-02-06,8028,昇陽半導體,半導體業,60.4,1.34,0.99,61.0,59.5,-1.49,-2.46,2024.79,32.0,1.0,-20.0,-11.0,-0.45,1.0,-182.0,-4.0,0.0,0.0,2.09,33.0,0.02,14.46,-1.0,-0.0,0.14,-41.0,-0.03,-0.0,-0.0,0.0,0.0,0.0,0.0,1.81,1.43,1.15,4.0,7.0,11.0,1.44,1.13,0.51,,,,0.02,1.13,1.9,2.44,元大證券,2.81%,美商高盛,2.37%,摩根大通,1.98%
2023-02-06,2484,希華,電子零組件業,36.65,4.56,2.46,37.55,37.1,1.23,-3.39,14062.44,-1243.0,1.0,-25.0,16.0,-1.64,3.0,174.0,237.0,0.0,0.0,0.0,-1237.0,-0.78,7.33,-6.0,-0.0,0.48,-1289.0,-0.81,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.26,-0.05,0.1,4.0,7.0,13.0,-0.0,-0.15,0.03,,,,1.48,2.5,2.76,2.3,康和-台中,1.3%,國泰-敦南,0.77%,新光,0.65%
2023-02-06,3265,台星科,半導體業,50.3,1.93,0.6,50.6,49.5,-1.59,-2.94,1895.03,-517.0,3.0,3.0,0.0,-1.0,3.0,131.0,-29.0,0.0,0.0,0.0,-486.0,-0.36,5.59,-31.0,-0.02,2.69,-314.0,-0.23,0.0,-0.0,-0.0,0.0,0.0,0.0,0.63,0.65,1.23,4.0,8.0,13.0,0.31,0.27,0.04,,,,0.09,1.07,2.02,2.25,元大-鹿港,3.69%,合庫-西台中,2.48%,第一金-澎湖,2.01%
2023-02-06,4116,明基醫,生技醫療業,65.8,0.46,0.0,65.8,65.2,-0.91,-2.25,541.74,-27.0,1.0,6.0,-18.0,-4.0,1.0,-10.0,-28.0,0.0,0.0,0.0,-28.0,-0.06,1.29,1.0,0.0,0.47,-7.0,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.91,0.71,4.0,6.0,9.0,0.29,0.5,0.4,,,,0.44,1.26,1.01,2.24,元大-彰化民生,3.87%,台灣摩根士丹利,3.69%,兆豐-三重,3.14%
2023-02-06,3712,永崴投控,電腦及週邊設備業,29.8,-0.67,0.0,29.8,29.0,-2.68,-3.01,1237.67,225.0,0.0,-2.0,0.0,-1.0,1.0,-137.0,-298.0,0.0,0.0,0.0,224.0,0.09,2.42,1.0,0.0,0.13,-148.0,-0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.7,0.66,4.0,8.0,12.0,0.14,0.19,-0.1,,,,-0.29,0.43,0.39,2.15,美商高盛,6.14%,凱基-台北,4.93%,摩根大通,3.15%
2023-02-06,5344,立衛,半導體業,19.0,9.83,10.0,20.9,20.05,5.53,-4.07,2214.0,-3.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-0.0,0.11,0.0,0.0,0.0,-307.0,-0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,2.0,4.0,8.0,-0.27,-0.33,-0.62,,,,1.86,2.46,2.49,2.11,新光,6.78%,兆豐-復興,2.98%,元富-信義,2.17%
2023-02-06,5014,建錩,鋼鐵工業,18.85,-0.79,0.53,18.95,18.5,-1.86,-2.37,1908.77,-755.0,1.0,0.0,-9.0,-inf,3.0,108.0,145.0,0.0,0.0,0.0,-737.0,-0.4,3.04,-18.0,-0.01,0.0,-384.0,-0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.77,0.37,2.0,5.0,9.0,-0.19,-0.23,-0.34,,,,-0.25,0.02,0.08,1.91,日盛-桃園,4.66%,日盛-文化,4.19%,永豐金證券,2.93%
2023-02-06,3441,聯一光電,光電業,41.9,2.7,1.19,42.4,41.5,-0.95,-3.04,2354.11,-272.0,3.0,-26.0,3.0,-1.12,2.0,45.0,-122.0,0.0,0.0,0.0,-262.0,-0.65,2.34,-10.0,-0.02,0.44,-151.0,-0.38,0.0,0.0,0.0,0.0,0.0,0.0,-0.92,-0.9,-0.47,3.0,5.0,11.0,-0.47,-1.0,-1.41,,,,1.27,2.68,2.39,1.89,國泰-敦南,4.97%,日盛-中和,4.25%,國泰-忠孝,2.17%
2023-02-06,9955,佳龍,其他,22.0,1.15,-0.91,21.8,21.65,-1.59,-2.26,663.07,-34.0,2.0,1.0,0.0,-1.0,1.0,91.0,-4.0,0.0,0.0,0.0,-34.0,-0.03,1.76,0.0,0.0,0.34,-83.0,-0.08,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,-0.97,-0.35,3.0,5.0,12.0,-0.33,-1.24,-0.87,,,,-0.09,0.02,0.21,1.65,富邦-桃園,3.77%,聯邦商銀,3.47%,中國信託-三重,3.17%
2023-02-06,6122,擎邦,電機機械,18.75,-0.27,0.27,18.8,18.25,-2.67,-3.18,822.82,-342.0,0.0,0.0,-3.0,-inf,3.0,74.0,98.0,0.0,0.0,0.0,-342.0,-0.47,3.57,0.0,0.0,0.08,-192.0,-0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.73,0.11,3.0,5.0,8.0,0.05,-0.71,-0.25,,,,-0.37,-0.05,0.33,1.52,兆豐-桃園,10.81%,永豐金-大園,4.01%,中國信託,3.65%
2023-02-06,3083,網龍,文化創意業,48.7,1.14,-0.21,48.6,47.05,-3.39,-3.19,650.55,-86.0,1.0,1.0,-3.0,-4.0,2.0,239.0,-18.0,0.0,0.0,0.97,-86.0,-0.1,0.26,0.0,0.0,0.48,-88.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.32,-0.13,-0.83,2.0,5.0,8.0,-0.2,-0.3,-1.54,,,,-0.69,-0.8,-1.73,1.39,群益金鼎-東湖,7.68%,兆豐-竹北,2%,國票-南港,1.69%
2023-02-06,2906,高林,貿易百貨,18.95,0.26,0.0,18.95,18.8,-0.79,-2.59,1607.67,-102.0,2.0,8.0,-2.0,-1.25,2.0,83.0,21.0,0.0,0.0,0.0,-102.0,-0.05,3.3,0.0,0.0,3.62,-5.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.4,0.84,3.0,6.0,12.0,-0.08,-0.1,0.05,,,,0.4,0.64,0.66,1.37,國票-中正,3.54%,新光-台中,3.36%,中國信託-高雄,3.3%
2023-02-06,8440,綠電,其他,47.35,2.49,0.74,47.7,45.85,-3.17,-3.88,908.92,-455.0,0.0,-17.0,-45.0,1.65,2.0,76.0,30.0,0.0,0.0,0.0,-455.0,-1.2,1.63,0.0,0.0,2.54,-334.0,-0.88,0.0,0.0,0.0,0.0,0.0,0.0,1.52,1.33,1.29,4.0,5.0,9.0,0.11,0.43,0.26,,,,-0.43,0.33,0.58,1.34,新光-台中,2.75%,凱基-板橋,2.75%,統一-三重,2.42%
2023-02-06,6217,中探針,電子零組件業,45.6,1.33,0.33,45.75,44.65,-2.08,-2.72,1847.27,-503.0,3.0,8.0,1.0,-0.88,3.0,10.0,233.0,0.0,0.0,0.0,-519.0,-0.53,1.87,16.0,0.02,0.22,-456.0,-0.47,0.0,-0.0,-0.0,0.0,0.0,0.0,0.55,0.98,1.24,4.0,6.0,12.0,-0.24,0.13,0.03,,,,-0.08,0.92,1.54,1.27,群益金鼎-大興,2.65%,華南永昌-竹北,1.95%,(牛牛牛)亞-鑫豐,1.62%
2023-02-06,2358,廷鑫,其他,16.8,0.6,-0.6,16.7,16.3,-2.98,-2.69,3679.87,132.0,2.0,-31.0,-104.0,2.35,3.0,452.0,-212.0,0.0,0.0,0.0,132.0,0.1,1.43,0.0,0.0,0.02,-273.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.77,-0.1,-0.18,2.0,5.0,9.0,-0.39,-0.28,-0.44,,,,-0.26,-0.07,1.04,1.26,美商高盛,5.63%,台中銀-豐原,2.2%,凱基-東勢,1.98%
2023-02-06,6442,光聖,通信網路業,48.55,-0.1,0.0,48.55,47.7,-1.75,-3.54,575.51,121.0,1.0,-3.0,-2.0,-0.33,2.0,-22.0,80.0,0.0,0.0,0.0,120.0,0.17,32.15,1.0,0.0,0.12,-51.0,-0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.57,-0.21,5.0,6.0,7.0,0.05,0.12,0.16,,,,-0.39,0.9,1.9,1.13,摩根大通,8.85%,兆豐-鹿港,8.68%,統一-敦南,7.29%
2023-02-06,1608,華榮,電器電纜,15.9,0.0,0.0,15.9,15.4,-3.14,-3.14,1622.51,-132.0,2.0,-7.0,-13.0,0.86,3.0,-157.0,-6.0,0.0,0.0,0.0,-137.0,-0.02,1.49,5.0,0.0,0.08,-334.0,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.05,-0.14,-0.03,2.0,3.0,11.0,0.05,0.02,0.02,,,,-0.2,0.37,0.98,1.09,美林,7.76%,凱基-高美館,6.28%,合庫-高雄,4.68%
2023-02-06,4114,健喬,生技醫療業,44.1,3.52,1.93,44.95,43.4,-1.59,-3.45,17054.53,-3599.0,0.0,-96.0,-59.0,-0.39,4.0,332.0,819.0,-440.0,-0.13,0.0,-2718.0,-0.79,6.44,-441.0,-0.13,0.56,-3833.0,-1.12,-0.24,-0.42,-0.49,0.0,0.0,1.0,-1.96,-1.47,-3.98,1.0,4.0,9.0,-3.58,-3.51,-7.84,,,,0.18,-0.43,-1.9,1.03,美商高盛,3.3%,港商野村,2.13%,國票-長城,1.17%
2023-02-06,2359,所羅門,其他電子業,27.15,0.74,0.18,27.2,26.8,-1.29,-2.01,1545.71,-358.0,1.0,5.0,-9.0,-2.8,4.0,92.0,54.0,0.0,0.0,0.0,-358.0,-0.21,3.16,0.0,0.0,0.3,-278.0,-0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.96,-0.04,-1.15,4.0,4.0,9.0,0.49,-0.35,-1.81,,,,-0.01,0.46,0.17,1.02,統一-嘉義,4.92%,台中銀,2.72%,兆豐-三民,2.59%
2023-02-06,2736,富野,觀光事業,22.55,0.0,0.67,22.7,22.4,-0.67,-4.07,1603.79,-278.0,1.0,-1.0,-2.0,1.0,2.0,-10.0,49.0,0.0,0.0,0.0,-278.0,-0.57,5.82,0.0,0.0,0.3,-48.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.32,0.28,4.0,6.0,11.0,0.68,0.29,0.1,,,,0.0,0.16,0.21,1.0,永豐金-桃園,3.8%,元富-永和,2.49%,元大-南屯,2.49%
2023-02-06,4564,元翎,電機機械,25.0,3.73,0.8,25.2,25.1,0.4,-2.52,1344.47,-218.0,0.0,-2.0,-40.0,19.0,1.0,-73.0,-3.0,0.0,0.0,0.0,-217.0,-0.12,2.54,-1.0,-0.0,0.05,-411.0,-0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.21,0.43,4.0,9.0,18.0,-0.49,-0.53,-0.58,,,,0.66,0.73,0.91,0.89,元大-龍潭,3.2%,第一金-華江,2.31%,元大-復北,2.23%
2023-02-06,6190,萬泰科,通信網路業,31.75,5.31,0.47,31.9,31.85,0.31,-2.6,6164.67,-881.0,2.0,4.0,20.0,4.0,4.0,127.0,-292.0,0.0,0.0,0.0,-860.0,-0.53,1.22,-21.0,-0.01,0.02,-1071.0,-0.66,0.0,0.0,0.0,0.0,0.0,0.0,-0.46,-0.46,-0.53,3.0,6.0,11.0,-0.58,-0.53,-1.19,,,,1.15,2.05,2.4,0.89,兆豐-城中,1.38%,統一-三重,1.22%,新光,1.14%
