id,name,category,收盤價,漲跌幅,投信持股比例,投信買賣超%,投信買賣超(張),投信5買%,投信10買%,投信20買%,投信5買N天,投信10買N天,投信20買N天,外資持股比例,外資買賣超(張),外資買賣超%,外資5買%,外資10買%,外資20買%,外資5買N天,外資10買N天,外資20買N天自營商買賣超(張),自營商買賣超%,自營商持股比例,主力買賣超(張),主力今日%,主力5買%,主力10買%,主力20買%,月增率%,年增率%,累計年增率%
1455,集盛,紡織纖維,10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,26.0,0.0,-0.04,-0.02,-0.07,1.0,5.0,,-0.0,0.73,-7.0,-0.0,-0.05,-0.03,-0.07,-13.16,-40.84,-34.18
1460,宏遠,紡織纖維,9.04,0.56,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,4.5,208.0,0.03,-0.13,0.63,0.61,1.0,5.0,,-0.0,0.0,-16.0,-0.0,-0.18,0.37,0.48,5.67,-29.43,-28.50
1471,首利,電子零組件業,18.2,-1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.55,47.0,0.03,0.36,0.82,1.27,5.0,8.0,,-0.0,0.05,-423.0,-0.29,-1.2,-5.37,-2.73,-28.67,-26.19,-8.50
1504,東元,電機機械,52.7,3.33,1.06,-0.0,-53.0,-0.29,-0.41,-0.46,0.0,0.0,4.0,18.2,-4558.0,-0.21,0.03,-0.06,-0.98,3.0,5.0,,0.03,0.67,-2347.0,-0.11,-0.26,-0.45,-1.68,6.08,0.95,4.76
1512,瑞利,汽車工業,13.5,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.11,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,,0.0,0.0,-11.0,-0.01,-0.05,-0.03,-0.03,-5.79,44.28,90.17
1521,大億,汽車工業,38.65,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,33.38,-2.0,-0.0,-0.02,0.02,-0.02,1.0,3.0,,-0.0,0.13,0.0,0.0,-0.02,0.01,-0.16,-23.03,-13.39,-4.36
1522,堤維西,汽車工業,36.55,1.11,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,10.41,-198.0,-0.06,-1.64,-0.68,2.63,2.0,6.0,,-0.01,0.41,-219.0,-0.07,-1.35,-0.41,2.61,-8.58,-9.40,-1.16
1525,江申,汽車工業,109.5,-2.67,0.13,0.0,0.0,-0.0,-0.0,-0.09,4.0,5.0,6.0,1.8,366.0,0.5,0.57,0.78,0.9,3.0,7.0,,-0.01,0.32,135.0,0.18,0.05,0.05,-0.53,-16.20,-1.65,32.16
1529,樂士,電機機械,39.5,1.54,0.08,0.0,0.0,-0.01,-0.01,0.02,0.0,0.0,1.0,0.48,-104.0,-0.07,-0.88,-1.26,-0.48,0.0,2.0,,-0.01,8.62,24.0,0.02,-1.59,-2.63,-2.67,-45.51,14.54,168.92
1533,車王電,汽車工業,67.0,-1.62,0.29,0.0,0.0,0.21,0.21,0.21,2.0,3.0,3.0,5.93,-135.0,-0.14,0.2,0.34,0.3,3.0,5.0,,-0.01,0.18,-154.0,-0.16,0.23,0.1,-2.78,-32.45,-3.31,32.11
1536,和大,汽車工業,70.0,-0.14,0.21,0.0,2.0,0.0,0.0,-0.03,5.0,7.0,8.0,11.26,-86.0,-0.03,-0.17,-0.38,-0.62,1.0,2.0,,-0.01,0.75,-96.0,-0.03,-0.11,-0.42,-1.26,-18.80,-24.98,-0.57
1589,永冠-KY,電機機械,65.1,-0.76,0.0,0.0,0.0,-1.07,-3.06,-4.37,0.0,0.0,0.0,13.04,-155.0,-0.14,1.36,0.22,-1.15,4.0,6.0,,0.0,0.81,-82.0,-0.07,-1.0,-2.04,-2.94,-29.42,-31.86,10.05
1597,直得,電機機械,70.9,-1.25,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,3.71,-2.0,-0.0,-0.01,-0.05,-0.02,1.0,4.0,,-0.0,0.07,-22.0,-0.02,-0.11,-0.13,-0.13,-22.33,-53.66,-29.80
1608,華榮,電器電纜,23.2,0.0,0.03,0.0,0.0,0.0,0.0,0.0,4.0,6.0,9.0,1.85,152.0,0.02,-0.12,0.31,1.31,4.0,8.0,,-0.0,0.21,13.0,0.0,-0.2,0.02,0.44,-19.81,-23.69,-13.90
1702,南僑,食品工業,46.9,-0.21,0.07,0.0,0.0,-0.05,-0.05,-0.05,0.0,2.0,5.0,11.01,-20.0,-0.01,-0.03,-0.08,-0.35,1.0,2.0,,-0.01,0.29,-57.0,-0.02,-0.07,-0.14,-0.49,-1.50,5.54,10.99
1712,興農,化學工業,35.4,-0.28,0.02,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,12.75,-34.0,-0.01,-0.07,-0.04,-0.13,0.0,4.0,,-0.01,0.22,-141.0,-0.03,-0.04,-0.0,-0.15,-5.56,-30.63,-20.27
1720,生達,生技醫療業,67.2,-0.88,0.0,0.0,0.0,-0.29,-0.29,-0.77,2.0,3.0,3.0,8.05,-38.0,-0.02,-0.02,-0.62,-0.89,2.0,4.0,,-0.01,0.8,-20.0,-0.01,-0.26,-0.82,-1.54,-3.94,-8.91,10.42
1732,毛寶,化學工業,27.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,19.0,0.04,-0.0,-0.19,-0.26,3.0,4.0,,-0.0,2.14,-5.0,-0.01,-0.09,-0.54,-0.74,-6.31,-10.56,-5.57
1734,杏輝,生技醫療業,34.8,0.43,0.06,0.0,1.0,0.0,0.0,0.0,5.0,7.0,9.0,10.0,-365.0,-0.22,-1.92,-3.09,-0.86,0.0,1.0,,-0.0,0.5,-193.0,-0.12,-1.13,-1.89,-1.39,-15.83,-6.95,8.25
1752,南光,生技醫療業,61.6,-0.32,0.0,0.0,0.0,-0.0,0.0,-0.79,0.0,0.0,0.0,3.04,86.0,0.09,-0.14,-0.55,-6.1,4.0,6.0,,0.0,0.61,29.0,0.03,0.1,-0.03,-5.94,-5.01,1.85,29.25
1760,寶齡富錦,生技醫療業,134.5,0.0,0.0,0.0,0.0,-0.06,-0.09,-0.09,0.0,1.0,1.0,11.15,-17.0,-0.02,-1.11,-1.62,-1.23,1.0,4.0,,-0.02,1.61,-74.0,-0.09,-1.37,-2.71,-4.75,-44.18,-48.17,-30.78
1762,中化生,生技醫療業,90.3,0.44,1.52,0.0,0.0,0.04,0.55,0.55,1.0,4.0,4.0,11.85,-245.0,-0.32,0.12,1.14,-1.89,3.0,6.0,,0.05,1.08,-114.0,-0.15,0.35,0.96,-2.08,-26.99,-44.85,16.50
1806,冠軍,玻璃陶瓷,11.25,3.21,0.19,0.03,126.0,0.17,0.17,0.17,5.0,5.0,5.0,7.95,-227.0,-0.06,-0.3,0.04,0.13,0.0,5.0,,-0.01,0.07,-116.0,-0.03,-0.19,-0.11,-0.41,-21.21,-8.51,-8.04
1809,中釉,玻璃陶瓷,16.6,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.94,2378.0,1.42,1.98,1.6,1.61,2.0,3.0,,-0.0,0.06,1614.0,0.97,1.37,1.18,0.67,-11.29,-12.87,-12.07
1810,和成,玻璃陶瓷,23.75,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.81,595.0,0.2,-0.24,0.37,-0.23,2.0,6.0,,-0.0,0.51,,,,,,0.57,-10.09,-7.44
1905,華紙,造紙工業,27.75,-0.89,0.01,0.0,0.0,0.0,0.0,-0.0,4.0,5.0,7.0,3.67,-2622.0,-0.24,-0.85,0.61,0.87,1.0,4.0,,-0.0,0.19,-1757.0,-0.16,-1.21,0.12,0.02,-5.33,-26.20,-10.48
1907,永豐餘,造紙工業,36.25,-1.63,4.4,0.0,2.0,-0.06,-0.03,4.27,4.0,6.0,14.0,11.21,-1554.0,-0.09,0.11,-0.37,-4.27,3.0,4.0,,-0.01,0.39,-1082.0,-0.07,-0.02,-0.47,-0.14,-4.99,-15.13,-10.60
2002,中鋼,鋼鐵工業,28.7,0.17,2.79,0.0,8.0,-0.01,-0.01,-0.03,2.0,3.0,5.0,18.55,-2661.0,-0.02,-0.27,-0.24,-0.22,0.0,2.0,,-0.01,1.57,-2789.0,-0.02,-0.25,-0.25,-0.22,-7.76,-32.47,-24.97
2008,高興昌,鋼鐵工業,19.9,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.62,-5.0,-0.0,0.0,0.0,0.03,0.0,3.0,,-0.0,0.18,4.0,0.0,-0.0,-0.0,0.02,-10.46,-53.06,-27.55
2010,春源,鋼鐵工業,18.65,-2.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.03,-97.0,-0.01,-0.02,0.22,0.36,2.0,6.0,,-0.0,0.3,-121.0,-0.02,0.07,0.32,0.35,2.06,-21.85,-20.18
2015,豐興,鋼鐵工業,69.6,-0.71,0.92,0.0,10.0,0.0,0.01,0.18,4.0,7.0,12.0,11.2,-2.0,-0.0,-0.0,0.01,-0.03,0.0,3.0,,-0.0,0.34,-25.0,-0.0,-0.01,-0.0,0.06,-16.89,-18.43,-14.72
2038,海光,鋼鐵工業,19.15,-2.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.39,-185.0,-0.1,-0.4,-0.33,-0.09,2.0,5.0,,-0.0,0.46,-322.0,-0.18,-0.51,-0.45,-0.35,-24.32,-34.54,-14.94
2104,國際中橡,橡膠工業,20.6,0.0,0.02,0.0,2.0,0.0,0.0,0.0,5.0,7.0,10.0,11.8,51.0,0.01,-0.16,0.04,-0.97,1.0,4.0,,-0.0,0.21,-230.0,-0.02,-0.25,-0.67,-1.26,-17.98,-37.10,-21.17
2106,建大,橡膠工業,31.45,0.64,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.52,-28.0,-0.0,-0.04,-0.0,0.13,1.0,5.0,,-0.0,0.24,-37.0,-0.0,-0.1,-0.09,-0.09,1.40,-23.03,-15.06
2206,三陽工業,汽車工業,83.1,-0.84,0.11,0.0,3.0,-0.07,-0.07,-0.03,1.0,3.0,10.0,17.03,2881.0,0.36,0.75,-0.26,0.32,3.0,5.0,,-0.02,0.94,1567.0,0.2,0.11,-0.67,-1.15,-5.45,26.78,38.67
2207,和泰車,汽車工業,777.0,1.04,0.84,0.0,1.0,-0.01,-0.01,-0.03,1.0,1.0,1.0,25.11,23.0,0.0,-0.04,-0.04,0.01,2.0,3.0,,-0.0,0.33,6.0,0.0,-0.04,-0.03,-0.03,-6.01,11.71,17.82
2236,百達-KY,汽車工業,68.5,-0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.31,-33.0,-0.07,0.8,1.19,2.48,4.0,7.0,,0.01,0.35,-10.0,-0.02,-0.3,-0.01,0.8,4.92,14.59,24.05
2302,麗正,半導體業,20.65,2.23,0.05,0.0,0.0,-0.01,-0.01,0.01,0.0,0.0,1.0,1.54,551.0,0.33,0.14,-0.11,0.59,2.0,3.0,,0.0,0.07,232.0,0.14,0.26,0.38,-0.56,-11.44,-14.23,-6.80
2305,全友,電腦及週邊設備業,22.5,-0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,-72.0,-0.04,-0.16,-0.24,-0.43,0.0,2.0,,-0.0,1.02,-35.0,-0.02,-0.05,-0.07,-0.25,-16.15,-16.05,10.99
2308,台達電,電子零組件業,348.5,0.14,2.92,-0.0,-78.0,-0.0,0.01,0.3,3.0,5.0,13.0,66.89,-319.0,-0.01,-0.03,-0.26,-0.57,2.0,2.0,,-0.0,0.8,-532.0,-0.02,-0.04,-0.07,-0.23,1.87,8.30,12.10
2324,仁寶,電腦及週邊設備業,28.7,-1.71,13.34,0.0,175.0,0.03,-0.08,-0.5,4.0,5.0,8.0,47.37,-4518.0,-0.1,0.12,0.39,1.38,3.0,7.0,,0.0,8.16,-4628.0,-0.11,-0.04,0.16,0.38,-1.95,-33.35,-15.03
2330,台積電,半導體業,565.0,0.0,1.68,-0.0,-67.0,-0.01,-0.02,-0.03,0.0,0.0,2.0,72.69,-327.0,-0.0,-0.05,-0.08,0.16,1.0,2.0,,-0.0,1.0,-1141.0,-0.0,-0.05,-0.06,0.09,-11.40,-11.07,-3.49
2355,敬鵬,電子零組件業,33.6,-0.44,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,19.42,136.0,0.03,0.33,0.21,0.29,4.0,7.0,,-0.01,0.32,43.0,0.01,0.22,0.17,0.1,-14.00,-18.24,-8.68
2356,英業達,電腦及週邊設備業,44.4,-0.45,11.17,0.04,1564.0,0.16,0.21,-1.02,5.0,9.0,15.0,23.9,-11060.0,-0.31,-1.98,-2.66,-3.07,0.0,1.0,,0.01,7.9,-7293.0,-0.2,-1.36,-1.84,-3.72,3.60,-8.37,-5.18
2360,致茂,其他電子業,251.5,-1.95,2.98,-0.0,-4.0,0.29,0.3,0.91,4.0,8.0,14.0,68.25,-98.0,-0.02,-0.18,-0.15,-1.16,1.0,5.0,,-0.0,0.53,-102.0,-0.02,0.02,0.07,0.19,4.72,-14.89,-5.67
2374,佳能,光電業,20.6,0.98,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,5.69,220.0,0.08,-0.13,-0.01,0.51,1.0,4.0,,-0.0,1.17,-9.0,-0.0,-0.16,-0.19,-0.22,4.75,-30.90,-19.24
2399,映泰,電腦及週邊設備業,25.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.28,326.0,0.18,-1.72,0.34,0.24,2.0,6.0,,0.0,0.54,8.0,0.0,-4.4,0.61,0.56,-25.78,0.55,4.03
2404,漢唐,其他電子業,225.0,0.67,4.2,0.03,48.0,0.66,0.72,1.11,5.0,6.0,12.0,27.22,294.0,0.15,-0.34,-0.35,-2.23,1.0,4.0,,0.21,6.43,466.0,0.24,0.52,0.41,-1.07,-35.33,27.30,110.03
2423,固緯,其他電子業,36.2,-2.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.52,-123.0,-0.08,0.21,0.2,0.33,3.0,5.0,,-0.04,0.36,-136.0,-0.09,0.02,-0.19,-0.2,-11.64,-18.76,4.50
2425,承啟,電腦及週邊設備業,41.4,-2.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.19,457.0,0.47,-0.76,-0.33,-1.24,2.0,5.0,,0.0,0.11,42.0,0.04,-0.97,-1.37,-3.38,-9.53,-16.29,-13.15
2427,三商電,資訊服務業,31.25,-1.57,0.05,0.0,0.0,-0.01,-0.01,0.01,0.0,0.0,1.0,2.56,-287.0,-0.16,-1.22,-1.16,-2.44,1.0,3.0,,0.0,0.64,-91.0,-0.05,-1.7,-3.47,-3.65,3.54,-42.59,-11.90
2457,飛宏,電子零組件業,76.0,-2.94,0.41,0.0,0.0,-0.11,-0.11,-0.06,0.0,1.0,4.0,9.61,-4511.0,-1.34,-1.54,-2.1,-5.62,2.0,3.0,,-0.04,2.42,-3824.0,-1.13,-1.37,-2.09,-5.84,5.52,-18.42,-6.08
2468,華經,資訊服務業,35.8,-2.85,0.0,0.0,0.0,-1.19,-1.19,-0.77,0.0,0.0,3.0,6.75,997.0,1.43,-0.39,0.4,6.06,3.0,6.0,,-0.0,0.14,420.0,0.6,-3.19,-3.23,0.56,-64.07,-12.42,21.72
2480,敦陽科,資訊服務業,117.5,-3.29,0.26,0.0,0.0,0.22,0.22,0.03,3.0,3.0,3.0,6.66,-215.0,-0.2,0.61,0.69,1.28,4.0,7.0,,-0.01,0.51,-113.0,-0.11,0.8,0.6,0.05,-4.21,7.84,12.25
2520,冠德,建材營造,30.2,0.33,0.03,0.0,0.0,0.01,0.01,0.01,1.0,1.0,1.0,15.95,-183.0,-0.03,0.05,0.13,0.15,2.0,5.0,,-0.0,0.36,-39.0,-0.01,0.05,0.1,-0.05,-35.65,-12.98,-8.66
2534,宏盛,建材營造,21.95,0.69,0.05,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,6.72,-285.0,-0.06,-0.34,-0.45,-0.53,0.0,1.0,,-0.01,0.44,-4.0,-0.0,-0.34,-0.99,-1.17,-44.11,-74.45,-28.12
2546,根基,建材營造,71.7,0.99,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.29,-12.0,-0.01,-0.11,-0.09,-0.29,1.0,4.0,,-0.0,0.06,3.0,0.0,-0.06,-0.05,-0.22,-23.43,10.48,40.48
2597,潤弘,建材營造,106.0,-10.92,0.0,0.0,0.0,-0.0,-0.15,-0.47,0.0,0.0,0.0,1.03,22.0,0.01,-0.07,-0.06,0.02,1.0,2.0,,-0.06,0.24,-88.0,-0.05,-0.08,-0.13,-0.28,5.82,-21.07,-8.09
2601,益航,貿易百貨,8.74,-0.68,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,11.53,-250.0,-0.03,-0.28,-0.47,-0.64,0.0,2.0,,-0.0,0.36,-209.0,-0.03,-0.27,-0.34,-0.55,-9.06,-20.83,-14.04
2607,榮運,航運業,28.6,-0.87,0.03,0.0,43.0,0.02,0.02,0.02,5.0,5.0,5.0,14.09,-526.0,-0.05,-0.13,0.1,0.43,1.0,5.0,,-0.0,0.66,-149.0,-0.01,-0.09,0.07,0.21,-8.33,-18.63,-17.91
2608,嘉里大榮,航運業,38.45,-0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.98,-41.0,-0.01,-0.03,-0.05,0.01,0.0,1.0,,-0.0,0.76,-91.0,-0.02,-0.04,-0.03,-0.0,-4.33,-6.82,-8.79
2612,中航,航運業,41.4,-0.36,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,2.15,-57.0,-0.03,-0.03,-0.01,0.04,1.0,3.0,,-0.0,0.17,47.0,0.02,0.05,0.14,0.16,-9.73,-21.82,-14.05
2617,台航,航運業,31.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,3.65,253.0,0.06,-0.02,0.23,0.18,2.0,5.0,,-0.01,0.25,-537.0,-0.13,-0.29,-0.22,-0.18,-8.55,-7.30,7.99
2701,萬企,觀光事業,14.4,0.35,0.09,0.01,67.0,0.09,0.09,0.09,5.0,5.0,5.0,0.71,309.0,0.07,0.24,0.25,-0.02,4.0,6.0,,-0.0,0.09,-128.0,-0.03,0.11,0.13,-0.48,-0.40,22.65,30.14
2723,美食-KY,觀光事業,136.5,-0.73,0.49,0.0,1.0,-0.31,-0.34,-0.29,1.0,1.0,3.0,61.49,-86.0,-0.05,-0.1,-0.62,-1.31,3.0,4.0,,-0.0,0.43,-57.0,-0.03,-0.34,-0.7,-1.36,-8.07,3.46,11.16
2820,華票,金融保險業,14.75,-0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.68,-566.0,-0.04,-0.08,-0.07,-0.06,1.0,5.0,,-0.0,0.93,-571.0,-0.04,-0.14,-0.2,-0.26,6.01,-10.06,26.86
2911,麗嬰房,貿易百貨,7.61,1.2,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,22.75,29.0,0.02,0.06,0.07,0.13,5.0,8.0,,-0.0,0.91,51.0,0.03,0.05,-0.0,0.02,-14.35,-6.76,2.01
2912,統一超,貿易百貨,287.5,1.59,0.97,-0.0,-1.0,-0.0,-0.0,0.0,1.0,2.0,3.0,29.64,-22.0,-0.0,-0.05,-0.05,-0.07,2.0,4.0,,-0.0,0.55,407.0,0.04,-0.01,-0.01,0.02,-1.33,9.29,10.28
2915,潤泰全,貿易百貨,61.5,1.49,3.76,0.0,0.0,0.0,-0.0,0.07,2.0,2.0,9.0,8.61,407.0,0.04,0.03,0.17,-0.0,3.0,7.0,,0.0,3.56,441.0,0.04,0.08,0.15,-0.05,-9.69,-32.81,-9.17
2929,淘帝-KY,貿易百貨,12.1,0.83,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,17.79,16.0,0.01,-0.8,-0.5,-1.14,2.0,6.0,,-0.0,1.74,19.0,0.02,-0.41,-0.48,-1.24,-62.61,-24.20,-21.67
3018,同開,其他電子業,12.0,-7.34,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,-0.05,-0.05,-0.05,1.0,1.0,,0.0,0.05,,,,,,-23.18,-72.37,-63.39
3021,鴻名,電子零組件業,21.4,-0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.42,-38.0,-0.04,-0.12,-0.2,0.08,1.0,2.0,,-0.1,0.05,-56.0,-0.06,-0.13,-0.12,-0.07,0.29,-29.56,-23.85
